well,R,G,B,column,row,Color1_ratio,Color2_ratio,Color3_ratio,tag,time,Score
A1,209.5,142.0,66.5,1,A,0.2,0.3,0.5,Target,,47.5
A2,196.0,135.0,54.0,2,A,0.2,0.3,0.5,Target,,85.5
A3,185.5,120.5,50.5,3,A,0.2,0.3,0.5,Target,,120.0
A4,101.5,91.0,53.0,4,A,0.2,0.3,0.5,Target,,242.5
B1,228.0,144.0,52.0,1,B,0.2,0.3,0.5,Target,,23.5
B2,152.5,120.5,55.0,2,B,0.2,0.3,0.5,Target,,120.0
B3,116.5,107.5,59.0,3,B,0.2,0.3,0.5,Target,,164.5
B4,153.5,111.5,38.0,4,B,0.2,0.3,0.5,Target,,127.5
C1,154.5,121.0,62.5,1,C,0.2,0.3,0.5,Target,,126.5
C2,155.5,121.5,56.0,2,C,0.2,0.3,0.5,Target,,125.5
C3,114.5,101.5,54.0,3,C,0.2,0.3,0.5,Target,,174.5
C4,166.5,119.5,44.5,4,C,0.2,0.3,0.5,Target,,102.5
D1,118.0,106.5,61.0,1,D,0.2,0.3,0.5,Target,,184.0
D2,217.5,141.0,49.0,2,D,0.2,0.3,0.5,Target,,45.0
D3,173.0,120.5,50.5,3,D,0.2,0.3,0.5,Target,,134.0
D4,149.5,117.5,57.5,4,D,0.2,0.3,0.5,Target,,153.5
E1,149.5,124.5,64.0,1,E,0.2,0.3,0.5,Target,,92.0
E2,128.0,110.0,58.5,2,E,0.2,0.3,0.5,Target,,130.0
E3,135.0,111.0,55.5,3,E,0.2,0.3,0.5,Target,,126.5
E4,169.0,124.5,51.5,4,E,0.2,0.3,0.5,Target,,79.0
F1,175.0,130.5,66.5,1,F,0.2,0.3,0.5,Target,,93.5
F2,158.5,128.0,66.0,2,F,0.2,0.3,0.5,Target,,114.0
F3,126.5,114.0,63.0,3,F,0.2,0.3,0.5,Target,,166.5
F4,155.0,120.0,46.5,4,F,0.2,0.3,0.5,Target,,134.0
G1,177.5,137.5,66.0,1,G,0.2,0.3,0.5,Target,,58.5
G2,178.0,133.5,50.5,2,G,0.2,0.3,0.5,Target,,61.0
G3,132.5,113.0,55.5,3,G,0.2,0.3,0.5,Target,,121.0
G4,132.5,116.5,63.0,4,G,0.2,0.3,0.5,Target,,114.0
H1,161.5,127.0,56.0,1,H,0.2,0.3,0.5,Target,,93.5
H2,170.0,129.0,58.0,2,H,0.2,0.3,0.5,Target,,90.0
H3,173.0,131.0,69.5,3,H,0.2,0.3,0.5,Target,,82.0
H4,165.0,123.5,55.5,4,H,0.2,0.3,0.5,Target,,87.0
A5,113.5,94.5,51.5,5,A,0.2,0.3,0.5,Target,,179.5
A6,150.0,108.0,40.0,6,A,0.2,0.3,0.5,Target,,121.0
A7,159.0,114.0,37.5,7,A,0.2,0.3,0.5,Target,,112.5
A8,153.5,106.0,33.5,8,A,0.2,0.3,0.5,Target,,124.5
B5,115.0,105.0,55.5,5,B,0.2,0.3,0.5,Target,,99.5
B6,144.0,115.0,53.5,6,B,0.2,0.3,0.5,Target,,146.0
B7,159.0,115.0,42.5,7,B,0.2,0.3,0.5,Target,,171.5
B8,117.5,94.0,45.5,8,B,0.2,0.3,0.5,Target,,99.5
C5,126.5,98.5,41.0,5,C,0.2,0.3,0.5,Target,,158.5
C6,179.5,116.0,39.0,6,C,0.2,0.3,0.5,Target,,88.0
C7,155.5,107.5,36.5,7,C,0.2,0.3,0.5,Target,,124.5
C8,167.5,115.0,39.5,8,C,0.2,0.3,0.5,Target,,98.5
D5,163.0,115.5,44.0,5,D,0.2,0.3,0.5,Target,,164.5
D6,172.0,121.0,42.5,6,D,0.2,0.3,0.5,Target,,190.5
D7,177.0,132.0,54.0,7,D,0.2,0.3,0.5,Target,,215.5
D8,167.5,123.5,48.5,8,D,0.2,0.3,0.5,Target,,193.0
E5,140.5,114.0,45.0,5,E,0.2,0.3,0.5,Target,,131.5
E6,166.5,123.0,44.5,6,E,0.2,0.3,0.5,Target,,106.5
E7,163.5,123.5,55.5,7,E,0.2,0.3,0.5,Target,,106.5
E8,176.5,127.5,50.5,8,E,0.2,0.3,0.5,Target,,84.5
F5,188.0,133.5,59.5,5,F,0.2,0.3,0.5,Target,,57.0
F6,157.5,121.5,64.0,6,F,0.2,0.3,0.5,Target,,105.5
F7,170.0,129.5,49.5,7,F,0.2,0.3,0.5,Target,,61.0
F8,193.5,131.0,47.0,8,F,0.2,0.3,0.5,Target,,65.0
G5,170.0,125.0,53.5,5,G,0.2,0.3,0.5,Target,,193.5
G6,137.5,109.0,56.0,6,G,0.2,0.3,0.5,Target,,196.0
G7,141.5,118.5,54.5,7,G,0.2,0.3,0.5,Target,,178.5
G8,191.0,132.0,51.5,8,G,0.2,0.3,0.5,Target,,211.5
H5,148.5,115.0,55.0,5,H,0.2,0.3,0.5,Target,,123.5
H6,167.5,121.5,39.0,6,H,0.2,0.3,0.5,Target,,88.5
H7,167.5,123.5,57.5,7,H,0.2,0.3,0.5,Target,,101.0
H8,175.0,127.0,53.5,8,H,0.2,0.3,0.5,Target,,80.0
A9,166.0,112.5,37.5,9,A,0.2,0.3,0.5,Target,,92.0
A10,154.0,105.5,37.0,10,A,0.2,0.3,0.5,Target,,111.5
A11,152.0,105.5,31.0,11,A,0.2,0.3,0.5,Target,,111.5
A12,150.0,101.5,35.0,12,A,0.2,0.3,0.5,Target,,112.0
B9,133.0,101.5,51.0,9,B,0.2,0.3,0.5,Target,,141.0
B10,135.5,100.0,40.0,10,B,0.2,0.3,0.5,Target,,140.5
B11,121.5,97.5,39.5,11,B,0.2,0.3,0.5,Target,,144.5
B12,120.0,91.0,39.5,12,B,0.2,0.3,0.5,Target,,160.5
C9,177.5,121.0,49.5,9,C,0.2,0.3,0.5,Target,,83.0
C10,153.5,105.0,43.0,10,C,0.2,0.3,0.5,Target,,147.5
C11,126.5,97.0,36.5,11,C,0.2,0.3,0.5,Target,,166.0
C12,150.5,105.0,37.0,12,C,0.2,0.3,0.5,Target,,117.5
D9,181.0,128.5,49.0,9,D,0.2,0.3,0.5,Target,,100.5
D10,173.5,126.0,46.0,10,D,0.2,0.3,0.5,Target,,114.5
D11,182.5,123.0,47.5,11,D,0.2,0.3,0.5,Target,,116.0
D12,165.5,108.5,36.5,12,D,0.2,0.3,0.5,Target,,108.0
E9,180.0,120.0,45.5,9,E,0.2,0.3,0.5,Target,,71.0
E10,153.0,116.5,47.0,10,E,0.2,0.3,0.5,Target,,42.0
E11,171.5,122.0,42.5,11,E,0.2,0.3,0.5,Target,,69.5
E12,168.0,114.5,36.0,12,E,0.2,0.3,0.5,Target,,89.5
F9,153.5,111.5,58.5,9,F,0.2,0.3,0.5,Target,,117.5
F10,165.0,128.5,66.5,10,F,0.2,0.3,0.5,Target,,95.0
F11,186.5,133.5,54.0,11,F,0.2,0.3,0.5,Target,,52.5
F12,182.5,122.5,49.5,12,F,0.2,0.3,0.5,Target,,65.0
G9,192.0,134.0,49.5,9,G,0.2,0.3,0.5,Target,,55.0
G10,196.0,135.0,49.0,10,G,0.2,0.3,0.5,Target,,66.5
G11,196.0,133.5,48.0,11,G,0.2,0.3,0.5,Target,,51.5
G12,180.5,129.0,55.0,12,G,0.2,0.3,0.5,Target,,73.5
H9,174.0,120.0,39.5,9,H,0.2,0.3,0.5,Target,,81.5
H10,180.5,127.0,45.0,10,H,0.2,0.3,0.5,Target,,63.5
H11,158.5,126.5,62.0,11,H,0.2,0.3,0.5,Target,,100.5
H12,178.5,121.0,41.0,12,H,0.2,0.3,0.5,Target,,72.0
,,,,,,,,,,29161480.0,
A1,237.5,158.0,63.0,1,A,0.3965052198299322,0.4959140327566511,0.1075807474134167,Sample,,47.5
A2,245.0,162.5,63.0,2,A,0.3965052198299322,0.4959140327566511,0.1075807474134167,Sample,,85.5
A3,244.0,159.0,73.5,3,A,0.3965052198299322,0.4959140327566511,0.1075807474134167,Sample,,120.0
A4,239.5,167.5,81.0,4,A,0.3965052198299322,0.4959140327566511,0.1075807474134167,Sample,,242.5
B1,232.0,133.5,43.0,1,B,0.293332436471485,0.0982334028794073,0.6084341606491075,Sample,,23.5
B2,246.0,141.0,49.0,2,B,0.293332436471485,0.0982334028794073,0.6084341606491075,Sample,,120.0
B3,238.0,129.0,37.5,3,B,0.293332436471485,0.0982334028794073,0.6084341606491075,Sample,,164.5
B4,242.0,140.0,48.5,4,B,0.293332436471485,0.0982334028794073,0.6084341606491075,Sample,,127.5
C1,242.0,143.5,46.0,1,C,0.4377950876341948,0.2544875057883123,0.3077174065774928,Sample,,126.5
C2,243.5,146.0,43.0,2,C,0.4377950876341948,0.2544875057883123,0.3077174065774928,Sample,,125.5
C3,240.0,146.5,50.0,3,C,0.4377950876341948,0.2544875057883123,0.3077174065774928,Sample,,174.5
C4,239.0,145.0,49.0,4,C,0.4377950876341948,0.2544875057883123,0.3077174065774928,Sample,,102.5
D1,238.0,151.5,80.0,1,D,0.5900868277010465,0.3664702172362707,0.0434429550626828,Sample,,184.0
D2,237.0,147.0,68.5,2,D,0.5900868277010465,0.3664702172362707,0.0434429550626828,Sample,,45.0
D3,236.0,152.0,90.0,3,D,0.5900868277010465,0.3664702172362707,0.0434429550626828,Sample,,134.0
D4,241.0,151.0,86.0,4,D,0.5900868277010465,0.3664702172362707,0.0434429550626828,Sample,,153.5
E1,229.0,125.5,52.5,1,E,0.5917547974013039,0.006079049031961,0.4021661535667351,Sample,,92.0
E2,228.0,120.5,39.0,2,E,0.5917547974013039,0.006079049031961,0.4021661535667351,Sample,,130.0
E3,234.0,125.0,42.0,3,E,0.5917547974013039,0.006079049031961,0.4021661535667351,Sample,,126.5
E4,235.0,124.0,39.0,4,E,0.5917547974013039,0.006079049031961,0.4021661535667351,Sample,,79.0
F1,236.5,148.5,52.5,1,F,0.361863082368355,0.4507171878318876,0.1874197297997573,Sample,,93.5
F2,235.0,154.0,54.5,2,F,0.361863082368355,0.4507171878318876,0.1874197297997573,Sample,,114.0
F3,241.5,155.0,52.5,3,F,0.361863082368355,0.4507171878318876,0.1874197297997573,Sample,,166.5
F4,239.0,158.5,58.0,4,F,0.361863082368355,0.4507171878318876,0.1874197297997573,Sample,,134.0
G1,134.0,135.5,79.0,1,G,0.3081424639898819,0.4319759603179953,0.2598815756921226,Sample,,58.5
G2,224.0,148.0,50.0,2,G,0.3081424639898819,0.4319759603179953,0.2598815756921226,Sample,,61.0
G3,221.0,143.0,53.0,3,G,0.3081424639898819,0.4319759603179953,0.2598815756921226,Sample,,121.0
G4,209.5,140.0,49.5,4,G,0.3081424639898819,0.4319759603179953,0.2598815756921226,Sample,,114.0
H1,232.0,144.0,50.0,1,H,0.3007807664214365,0.365203800291329,0.3340154332872345,Sample,,93.5
H2,239.5,149.5,58.0,2,H,0.3007807664214365,0.365203800291329,0.3340154332872345,Sample,,90.0
H3,230.0,144.5,58.0,3,H,0.3007807664214365,0.365203800291329,0.3340154332872345,Sample,,82.0
H4,227.0,148.0,55.0,4,H,0.3007807664214365,0.365203800291329,0.3340154332872345,Sample,,87.0
,,,,,,,,,,29161537.0,
A5,239.5,141.5,45.0,5,A,0.3333333333333328,0.3333333333333335,0.3333333333333336,Sample,,179.5
A6,234.5,139.0,45.5,6,A,0.3333333333333328,0.3333333333333335,0.3333333333333336,Sample,,121.0
A7,235.0,141.5,46.5,7,A,0.3333333333333328,0.3333333333333335,0.3333333333333336,Sample,,112.5
A8,235.5,139.5,42.5,8,A,0.3333333333333328,0.3333333333333335,0.3333333333333336,Sample,,124.5
B5,57.0,66.0,58.0,5,B,0.1,0.3045256362122319,0.5954743637877681,Sample,,99.5
B6,53.5,61.0,52.0,6,B,0.1,0.3045256362122319,0.5954743637877681,Sample,,146.0
B7,47.5,59.5,47.0,7,B,0.1,0.3045256362122319,0.5954743637877681,Sample,,171.5
B8,56.0,71.0,60.5,8,B,0.1,0.3045256362122319,0.5954743637877681,Sample,,99.5
C5,242.5,138.5,43.5,5,C,0.10005994706532,0.1000128092680711,0.7999272436666088,Sample,,158.5
C6,238.0,138.5,46.0,6,C,0.10005994706532,0.1000128092680711,0.7999272436666088,Sample,,88.0
C7,240.0,136.0,48.0,7,C,0.10005994706532,0.1000128092680711,0.7999272436666088,Sample,,124.5
C8,237.5,138.5,44.5,8,C,0.10005994706532,0.1000128092680711,0.7999272436666088,Sample,,98.5
D5,61.0,71.0,62.0,5,D,0.1,0.4872838508218743,0.4127161491781256,Sample,,164.5
D6,56.0,79.5,75.5,6,D,0.1,0.4872838508218743,0.4127161491781256,Sample,,190.5
D7,38.5,63.5,62.5,7,D,0.1,0.4872838508218743,0.4127161491781256,Sample,,215.5
D8,44.0,63.0,57.5,8,D,0.1,0.4872838508218743,0.4127161491781256,Sample,,193.0
E5,242.5,141.5,47.0,5,E,0.1000074600028788,0.1000074600028788,0.7999850799942424,Sample,,131.5
E6,245.0,143.5,52.0,6,E,0.1000074600028788,0.1000074600028788,0.7999850799942424,Sample,,106.5
E7,240.0,139.0,41.0,7,E,0.1000074600028788,0.1000074600028788,0.7999850799942424,Sample,,106.5
E8,244.5,141.5,48.0,8,E,0.1000074600028788,0.1000074600028788,0.7999850799942424,Sample,,84.5
F5,232.0,126.0,54.0,5,F,0.8,0.1,0.1,Sample,,57.0
F6,236.5,131.5,47.5,6,F,0.8,0.1,0.1,Sample,,105.5
F7,228.0,127.5,50.5,7,F,0.8,0.1,0.1,Sample,,61.0
F8,232.5,142.5,61.5,8,F,0.8,0.1,0.1,Sample,,65.0
G5,103.0,155.5,149.5,5,G,0.0999999999999999,0.7999999999999994,0.1000000000000006,Sample,,193.5
G6,79.0,150.5,152.0,6,G,0.0999999999999999,0.7999999999999994,0.1000000000000006,Sample,,196.0
G7,86.5,147.5,149.0,7,G,0.0999999999999999,0.7999999999999994,0.1000000000000006,Sample,,178.5
G8,96.5,152.0,148.5,8,G,0.0999999999999999,0.7999999999999994,0.1000000000000006,Sample,,211.5
H5,237.0,136.0,41.0,5,H,0.5357318492907358,0.2321340753546321,0.2321340753546321,Sample,,123.5
H6,238.5,138.5,39.5,6,H,0.5357318492907358,0.2321340753546321,0.2321340753546321,Sample,,88.5
H7,237.0,140.0,42.5,7,H,0.5357318492907358,0.2321340753546321,0.2321340753546321,Sample,,101.0
H8,232.5,148.5,54.5,8,H,0.5357318492907358,0.2321340753546321,0.2321340753546321,Sample,,80.0
,,,,,,,,,,29161595.0,
A9,238.5,128.0,41.5,9,A,0.2536758147381998,0.1079170655019326,0.6384071197598674,Sample,,92.0
A10,240.5,127.5,40.0,10,A,0.2536758147381998,0.1079170655019326,0.6384071197598674,Sample,,111.5
A11,234.0,127.5,38.5,11,A,0.2536758147381998,0.1079170655019326,0.6384071197598674,Sample,,111.5
A12,237.0,124.0,37.5,12,A,0.2536758147381998,0.1079170655019326,0.6384071197598674,Sample,,112.0
B9,232.5,135.0,43.0,9,B,0.7203746005952325,0.1398126997023838,0.1398126997023838,Sample,,141.0
B10,237.0,133.0,46.0,10,B,0.7203746005952325,0.1398126997023838,0.1398126997023838,Sample,,140.5
B11,234.5,120.5,48.0,11,B,0.7203746005952325,0.1398126997023838,0.1398126997023838,Sample,,144.5
B12,234.5,132.0,44.5,12,B,0.7203746005952325,0.1398126997023838,0.1398126997023838,Sample,,160.5
C9,239.0,136.0,43.0,9,C,0.5133325421764726,0.2433337289117637,0.2433337289117637,Sample,,83.0
C10,234.0,154.5,60.5,10,C,0.5133325421764726,0.2433337289117637,0.2433337289117637,Sample,,147.5
C11,236.5,135.0,54.5,11,C,0.5133325421764726,0.2433337289117637,0.2433337289117637,Sample,,166.0
C12,239.0,130.5,40.5,12,C,0.5133325421764726,0.2433337289117637,0.2433337289117637,Sample,,117.5
D9,154.5,148.5,103.0,9,D,0.2591819700496091,0.640818029950391,0.0999999999999999,Sample,,100.5
D10,150.0,148.5,114.5,10,D,0.2591819700496091,0.640818029950391,0.0999999999999999,Sample,,114.5
D11,149.0,145.0,108.0,11,D,0.2591819700496091,0.640818029950391,0.0999999999999999,Sample,,116.0
D12,134.5,130.0,92.0,12,D,0.2591819700496091,0.640818029950391,0.0999999999999999,Sample,,108.0
E9,128.5,110.5,55.5,9,E,0.2345294433517553,0.4232744018669502,0.3421961547812945,Sample,,71.0
E10,124.5,109.0,53.0,10,E,0.2345294433517553,0.4232744018669502,0.3421961547812945,Sample,,42.0
E11,127.0,110.0,55.5,11,E,0.2345294433517553,0.4232744018669502,0.3421961547812945,Sample,,69.5
E12,112.0,99.5,54.5,12,E,0.2345294433517553,0.4232744018669502,0.3421961547812945,Sample,,89.5
F9,241.0,138.5,55.5,9,F,0.7331207903127849,0.1000000000000001,0.166879209687215,Sample,,117.5
F10,236.5,127.0,44.5,10,F,0.7331207903127849,0.1000000000000001,0.166879209687215,Sample,,95.0
F11,234.5,135.5,56.5,11,F,0.7331207903127849,0.1000000000000001,0.166879209687215,Sample,,52.5
F12,231.0,133.5,44.0,12,F,0.7331207903127849,0.1000000000000001,0.166879209687215,Sample,,65.0
G9,233.0,139.0,40.5,9,G,0.5694656131217992,0.2152671934391005,0.2152671934391003,Sample,,55.0
G10,240.0,150.5,56.0,10,G,0.5694656131217992,0.2152671934391005,0.2152671934391003,Sample,,66.5
G11,236.0,137.0,56.0,11,G,0.5694656131217992,0.2152671934391005,0.2152671934391003,Sample,,51.5
G12,237.0,137.0,46.0,12,G,0.5694656131217992,0.2152671934391005,0.2152671934391003,Sample,,73.5
H9,235.5,137.5,37.0,9,H,0.2034283908090627,0.1000000000000003,0.6965716091909367,Sample,,81.5
H10,231.0,137.5,47.5,10,H,0.2034283908090627,0.1000000000000003,0.6965716091909367,Sample,,63.5
H11,227.0,141.5,45.0,11,H,0.2034283908090627,0.1000000000000003,0.6965716091909367,Sample,,100.5
H12,234.5,132.5,36.5,12,H,0.2034283908090627,0.1000000000000003,0.6965716091909367,Sample,,72.0
