R,G,B,Color1_ratio,Color2_ratio,Color3_ratio,time,well,column,row,distance
43.0,72.0,52.0,0.2396938893695556,0.3382313250015442,0.4220747856289,,G11,11,G,21.257080078125
41.0,71.0,45.0,0.2213646715500585,0.3897009678365218,0.3889343606134195,,D7,7,D,36.257080078125
39.0,68.0,48.0,0.2396938893695556,0.3382313250015442,0.4220747856289,,G9,9,G,43.382080078125
40.0,69.0,44.0,0.2412564307451248,0.4018942713737488,0.3568492531776428,,C1,1,C,52.788330078125
38.0,70.0,46.0,0.2412564307451248,0.4018942713737488,0.3568492531776428,,C2,2,C,66.100830078125
36.0,69.0,51.0,0.2213646715500585,0.3897009678365218,0.3889343606134195,,D5,5,D,98.850830078125
54.0,84.0,57.0,0.2412564307451248,0.4018942713737488,0.3568492531776428,,C4,4,C,154.538330078125
51.0,80.0,60.0,0.2412564307451248,0.4018942713737488,0.3568492531776428,,C3,3,C,169.007080078125
37.0,64.0,59.0,0.2213646715500585,0.3897009678365218,0.3889343606134195,,D8,8,D,178.007080078125
31.0,58.0,48.0,0.1896033059366854,0.316800634230296,0.4935960598330186,,H10,10,H,204.132080078125
61.0,84.0,42.0,0.2396938893695556,0.3382313250015442,0.4220747856289,,G10,10,G,292.944580078125
28.0,50.0,43.0,0.1896033059366854,0.316800634230296,0.4935960598330186,,H12,12,H,324.100830078125
23.0,54.0,56.0,0.2213646715500585,0.3897009678365218,0.3889343606134195,,D6,6,D,553.382080078125
32.0,66.0,68.0,0.2067043400638916,0.4524809824978664,0.340814677438242,,F6,6,F,560.038330078125
56.0,90.0,73.0,0.2598873519551525,0.4988105170588982,0.2413021309859492,,F10,10,F,722.850830078125
73.0,89.0,49.5,0.2396938893695556,0.3382313250015442,0.4220747856289,,G12,12,G,767.163330078125
44.5,86.5,76.5,0.2598873519551525,0.4988105170588982,0.2413021309859492,,F11,11,F,797.147705078125
47.0,83.0,79.0,0.2598873519551525,0.4988105170588982,0.2413021309859492,,F9,9,F,939.819580078125
31.0,76.0,77.0,0.2142907749396433,0.5702591007854058,0.2154501242749508,,E7,7,E,1028.694580078125
15.0,47.0,63.5,0.2067043400638916,0.4524809824978664,0.340814677438242,,F8,8,F,1140.475830078125
82.0,90.0,41.0,0.2496176958084106,0.3290514647960663,0.4213308095932007,,H3,3,H,1397.913330078125
28.0,63.0,83.0,0.2067043400638916,0.4524809824978664,0.340814677438242,,F5,5,F,1489.600830078125
57.0,92.0,86.0,0.2598873519551525,0.4988105170588982,0.2413021309859492,,F12,12,F,1550.069580078125
89.0,96.0,45.0,0.2496176958084106,0.3290514647960663,0.4213308095932007,,H4,4,H,1916.757080078125
90.0,95.0,43.5,0.2496176958084106,0.3290514647960663,0.4213308095932007,,H2,2,H,2016.444580078125
89.0,111.0,64.0,0.28277299730862,0.4009084072152412,0.3163185954761387,,B8,8,B,2156.194580078125
25.0,67.0,93.0,0.2142907749396433,0.5702591007854058,0.2154501242749508,,E8,8,E,2396.757080078125
19.0,52.0,90.0,0.2067043400638916,0.4524809824978664,0.340814677438242,,F7,7,F,2408.382080078125
41.0,88.0,100.0,0.2142907749396433,0.5702591007854058,0.2154501242749508,,E6,6,E,2682.944580078125
98.0,96.0,39.0,0.2496176958084106,0.3290514647960663,0.4213308095932007,,H1,1,H,2856.788330078125
27.0,70.0,103.0,0.2142907749396433,0.5702591007854058,0.2154501242749508,,E5,5,E,3309.194580078125
5.0,23.0,91.5,0.1534026712179184,0.5509851574897766,0.2956121861934662,,G1,1,G,3448.663330078125
102.0,119.0,65.0,0.28277299730862,0.4009084072152412,0.3163185954761387,,B7,7,B,3491.538330078125
15.0,46.0,101.0,0.1534026712179184,0.5509851574897766,0.2956121861934662,,G2,2,G,3663.694580078125
107.0,115.0,58.0,0.2187809280768129,0.2576913427278748,0.5235277291953122,,A9,9,A,3895.132080078125
108.0,118.0,57.0,0.28277299730862,0.4009084072152412,0.3163185954761387,,B5,5,B,4003.975830078125
12.0,42.0,104.0,0.1534026712179184,0.5509851574897766,0.2956121861934662,,G3,3,G,4176.163330078125
12.0,39.0,106.0,0.1534026712179184,0.5509851574897766,0.2956121861934662,,G4,4,G,4398.788330078125
112.0,115.0,58.0,0.28277299730862,0.4009084072152412,0.3163185954761387,,B6,6,B,4533.413330078125
23.0,16.0,113.0,0.1896033059366854,0.316800634230296,0.4935960598330186,,H9,9,H,4608.694580078125
117.0,113.0,50.0,0.2187809280768129,0.2576913427278748,0.5235277291953122,,A10,10,A,5133.194580078125
117.0,117.0,54.0,0.2737977206707001,0.3340439796447754,0.3921582400798797,,A4,4,A,5164.444580078125
122.0,125.0,58.0,0.2187809280768129,0.2576913427278748,0.5235277291953122,,A12,12,A,5969.975830078125
7.0,8.0,120.0,0.1896033059366854,0.316800634230296,0.4935960598330186,,H11,11,H,6532.882080078125
128.0,114.0,49.0,0.2737977206707001,0.3340439796447754,0.3921582400798797,,A2,2,A,6822.600830078125
125.0,117.0,71.0,0.3594766915683081,0.5006288550292095,0.1398944534024825,,E9,9,E,6842.507080078125
30.0,75.0,134.0,0.1853501473634159,0.6293470015369446,0.1853028510996396,,C12,12,C,7545.350830078125
1.5,10.5,126.0,9.139716000556366e-17,0.6259023235612634,0.3740976764387364,,D10,10,D,7883.897705078125
29.0,73.0,136.0,0.1853501473634159,0.6293470015369446,0.1853028510996396,,C9,9,C,7921.319580078125
135.0,117.0,49.0,0.2737977206707001,0.3340439796447754,0.3921582400798797,,A1,1,A,8027.194580078125
135.0,125.0,53.0,0.2187809280768129,0.2576913427278748,0.5235277291953122,,A11,11,A,8054.444580078125
6.0,16.5,132.0,9.139716000556366e-17,0.6259023235612634,0.3740976764387364,,D9,9,D,8477.475830078125
139.5,120.5,53.0,0.2737977206707001,0.3340439796447754,0.3921582400798797,,A3,3,A,8874.147705078125
28.0,71.0,142.0,0.1853501473634159,0.6293470015369446,0.1853028510996396,,C10,10,C,9038.538330078125
141.0,116.0,50.0,0.3435537219047546,0.3518127202987671,0.3046335279941559,,D2,2,D,9135.944580078125
11.0,22.0,138.0,9.139716000556366e-17,0.6259023235612634,0.3740976764387364,,D12,12,D,9148.132080078125
136.0,128.0,82.0,0.3594766915683081,0.5006288550292095,0.1398944534024825,,E12,12,E,9333.663330078125
137.0,130.0,86.0,0.3594766915683081,0.5006288550292095,0.1398944534024825,,E10,10,E,9800.569580078125
139.0,127.0,81.0,0.3594766915683081,0.5006288550292095,0.1398944534024825,,E11,11,E,9817.819580078125
9.0,33.0,141.0,0.0958144113799919,0.6910844671035703,0.2131011215164378,,G7,7,G,9847.257080078125
17.0,33.0,146.0,9.139716000556366e-17,0.6259023235612634,0.3740976764387364,,D11,11,D,10273.569580078125
150.0,109.0,40.0,0.1900777816772461,0.1654830873012542,0.644439160823822,,F1,1,F,10997.725830078125
15.0,41.0,151.0,0.0958144113799919,0.6910844671035703,0.2131011215164378,,G5,5,G,11399.319580078125
16.0,45.0,155.0,0.0958144113799919,0.6910844671035703,0.2131011215164378,,G6,6,G,12178.225830078125
156.0,119.0,50.0,0.3435537219047546,0.3518127202987671,0.3046335279941559,,D1,1,D,12223.788330078125
13.0,42.0,156.0,0.0958144113799919,0.6910844671035703,0.2131011215164378,,G8,8,G,12576.069580078125
159.0,118.0,46.0,0.3701936304569244,0.3168882727622986,0.312918096780777,,E1,1,E,12898.507080078125
159.0,112.0,44.0,0.1900777816772461,0.1654830873012542,0.644439160823822,,F2,2,F,12906.882080078125
161.0,124.0,54.0,0.3435537219047546,0.3518127202987671,0.3046335279941559,,D3,3,D,13384.319580078125
162.0,113.0,44.0,0.1900777816772461,0.1654830873012542,0.644439160823822,,F3,3,F,13596.850830078125
24.0,63.0,165.0,0.1853501473634159,0.6293470015369446,0.1853028510996396,,C11,11,C,14013.600830078125
166.0,127.5,55.0,0.3435537219047546,0.3518127202987671,0.3046335279941559,,D4,4,D,14577.913330078125
167.0,121.0,48.0,0.3701936304569244,0.3168882727622986,0.312918096780777,,E2,2,E,14772.382080078125
168.5,114.5,42.0,0.3507236819529311,0.1835504692577197,0.4657258487893492,,H8,8,H,15175.241455078125
170.5,121.0,46.0,0.1900777816772461,0.1654830873012542,0.644439160823822,,F4,4,F,15640.303955078125
172.0,117.0,47.0,0.3507236819529311,0.1835504692577197,0.4657258487893492,,H6,6,H,16008.850830078125
173.0,128.0,55.0,0.3701936304569244,0.3168882727622986,0.312918096780777,,E4,4,E,16312.007080078125
175.5,128.0,52.0,0.3701936304569244,0.3168882727622986,0.312918096780777,,E3,3,E,16925.460205078125
176.0,122.0,48.0,0.1658958494663238,0.1298917233943939,0.7042124271392822,,B1,1,B,17038.288330078125
176.0,119.0,45.0,0.3507236819529311,0.1835504692577197,0.4657258487893492,,H7,7,H,17047.850830078125
166.0,152.0,100.0,0.3833823408219021,0.5053283730219366,0.1112892861561613,,B10,10,B,17203.975830078125
177.0,119.0,46.0,0.1658958494663238,0.1298917233943939,0.7042124271392822,,B2,2,B,17303.319580078125
178.0,119.5,47.0,0.3507236819529311,0.1835504692577197,0.4657258487893492,,H5,5,H,17563.288330078125
167.0,150.0,104.0,0.3833823408219021,0.5053283730219366,0.1112892861561613,,B12,12,B,17870.882080078125
172.0,149.0,95.0,0.3833823408219021,0.5053283730219366,0.1112892861561613,,B9,9,B,18191.850830078125
173.0,151.0,101.0,0.3833823408219021,0.5053283730219366,0.1112892861561613,,B11,11,B,19040.382080078125
188.0,126.0,53.0,0.5847938264092781,0.0000679049173164,0.4151382686734055,,A6,6,A,20333.225830078125
189.0,129.0,53.0,0.1658958494663238,0.1298917233943939,0.7042124271392822,,B3,3,B,20621.882080078125
192.0,133.0,57.0,0.5847938264092781,0.0000679049173164,0.4151382686734055,,A5,5,A,21546.100830078125
196.0,139.5,57.0,0.1658958494663238,0.1298917233943939,0.7042124271392822,,B4,4,B,22739.225830078125
201.0,135.0,59.0,0.5847938264092781,0.0000679049173164,0.4151382686734055,,A7,7,A,24300.632080078125
201.0,138.0,62.0,0.5847938264092781,0.0000679049173164,0.4151382686734055,,A8,8,A,24375.069580078125
204.0,186.0,176.0,0.212868553728157,0.787131446271843,0.0,,C8,8,C,41416.663330078125
207.0,187.0,177.0,0.212868553728157,0.787131446271843,0.0,,C5,5,C,42632.444580078125
209.0,192.0,182.0,0.212868553728157,0.787131446271843,0.0,,C7,7,C,44595.819580078125
211.0,191.0,180.0,0.212868553728157,0.787131446271843,0.0,,C6,6,C,44722.507080078125
